Columns,InstanceNumber,Rows,SequenceName,SeriesNumber,SliceLocation,path
512,65,416,*fl3d2,51,-659.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-65-x7zchg.dcm
512,66,416,*fl3d2,51,-654.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-66-x7zchh.dcm
512,67,416,*fl3d2,51,-649.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-67-x7zchi.dcm
512,68,416,*fl3d2,51,-644.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-68-x7zchj.dcm
512,69,416,*fl3d2,51,-639.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-69-x7zchk.dcm
512,70,416,*fl3d2,51,-634.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-70-x7zchl.dcm
512,71,416,*fl3d2,51,-629.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-71-x7zchm.dcm
512,72,416,*fl3d2,51,-624.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-72-x7zchn.dcm
512,73,416,*fl3d2,51,-619.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-73-x7zci9.dcm
512,74,416,*fl3d2,51,-614.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-74-x7zcia.dcm
512,75,416,*fl3d2,51,-609.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-75-x7zcib.dcm
512,76,416,*fl3d2,51,-604.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-76-x7zcic.dcm
512,77,416,*fl3d2,51,-599.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-77-x7zcid.dcm
512,78,416,*fl3d2,51,-594.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-78-x7zcie.dcm
512,79,416,*fl3d2,51,-589.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-79-x7zcif.dcm
512,80,416,*fl3d2,51,-584.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-80-x7zcig.dcm
512,81,416,*fl3d2,51,-579.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-81-x7zcih.dcm
512,82,416,*fl3d2,51,-574.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-82-x7zcii.dcm
512,83,416,*fl3d2,51,-569.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-83-x7zcj4.dcm
512,84,416,*fl3d2,51,-564.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-84-x7zcj5.dcm
512,85,416,*fl3d2,51,-559.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-85-x7zcj6.dcm
512,86,416,*fl3d2,51,-554.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-86-x7zcj7.dcm
512,87,416,*fl3d2,51,-549.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-87-x7zcj8.dcm
512,88,416,*fl3d2,51,-544.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-88-x7zcj9.dcm
512,89,416,*fl3d2,51,-539.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-89-x7zcja.dcm
512,90,416,*fl3d2,51,-534.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-90-x7zcjb.dcm
512,91,416,*fl3d2,51,-529.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-91-x7zcjc.dcm
512,92,416,*fl3d2,51,-524.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-92-x7zcjd.dcm
512,93,416,*fl3d2,51,-519.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-93-x7zd22.dcm
512,94,416,*fl3d2,51,-514.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-94-x7zd23.dcm
512,95,416,*fl3d2,51,-509.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-95-x7zd24.dcm
512,96,416,*fl3d2,51,-504.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-96-x7zd25.dcm
512,97,416,*fl3d2,51,-499.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-97-x7zd26.dcm
512,98,416,*fl3d2,51,-494.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-98-x7zd27.dcm
512,99,416,*fl3d2,51,-489.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-99-x7zd28.dcm
512,100,416,*fl3d2,51,-484.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-100-x7zd29.dcm
512,101,416,*fl3d2,51,-479.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-101-x7zd2a.dcm
512,102,416,*fl3d2,51,-474.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-102-x7zd2b.dcm
512,103,416,*fl3d2,51,-469.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-103-x7zd2x.dcm
512,104,416,*fl3d2,51,-464.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-104-x7zd2y.dcm
512,105,416,*fl3d2,51,-459.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-105-x7zd2z.dcm
512,106,416,*fl3d2,51,-454.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-106-x7zd30.dcm
512,107,416,*fl3d2,51,-449.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-107-x7zd31.dcm
512,108,416,*fl3d2,51,-444.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-108-x7zd32.dcm
512,109,416,*fl3d2,51,-439.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-109-x7zd33.dcm
512,110,416,*fl3d2,51,-434.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-110-x7zd34.dcm
512,111,416,*fl3d2,51,-429.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-111-x7zd35.dcm
512,112,416,*fl3d2,51,-424.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-112-x7zd36.dcm
512,113,416,*fl3d2,51,-419.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-113-x7zd3s.dcm
512,114,416,*fl3d2,51,-414.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-114-x7zd3t.dcm
512,115,416,*fl3d2,51,-409.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-115-x7zd3u.dcm
512,116,416,*fl3d2,51,-404.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-116-x7zd3v.dcm
512,117,416,*fl3d2,51,-399.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-117-x7zd3w.dcm
512,118,416,*fl3d2,51,-394.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-118-x7zd3x.dcm
512,119,416,*fl3d2,51,-389.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-119-x7zd3y.dcm
512,120,416,*fl3d2,51,-384.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-120-x7zd3z.dcm
512,121,416,*fl3d2,51,-379.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-121-x7zd40.dcm
512,122,416,*fl3d2,51,-374.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-122-x7zd41.dcm
512,123,416,*fl3d2,51,-369.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-123-x7zd4n.dcm
512,124,416,*fl3d2,51,-364.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-124-x7zd4o.dcm
512,125,416,*fl3d2,51,-359.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-125-x7zd4p.dcm
512,126,416,*fl3d2,51,-354.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-126-x7zd4q.dcm
512,127,416,*fl3d2,51,-349.71412654221,temp/inPhase(1)/20181215_152525_Avanto/scans/51-T1_IP/resources/DICOM/files/1.2.840.113564.9.1.2843759204.47.2.5001567892-51-127-x7zd4r.dcm
